Name,Team,Pos,Fantasy_Points
Justin Jefferson,MIN,WR,235.2
Tyreek Hill,MIA,WR,219.9
Davante Adams,LV,WR,228.2
A.J. Brown,PHI,WR,206.1
Stefon Diggs,BUF,WR,192.2
Jaylen Waddle,MIA,WR,180.9
CeeDee Lamb,DAL,WR,183.4
DeVonta Smith,PHI,WR,154.9
Mike Evans,TB,WR,148.4
Terry McLaurin,WAS,WR,138.6
Amon-Ra St. Brown,DET,WR,156.7
Amari Cooper,CLE,WR,164.9
Tee Higgins,CIN,WR,144.2
Garrett Wilson,NYJ,WR,125.8
Christian Kirk,JAX,WR,144
DK Metcalf,SEA,WR,136.8
Chris Olave,NO,WR,116.2
Tyler Lockett,SEA,WR,145.9
Chris Godwin,TB,WR,115.3
Ja'Marr Chase,CIN,WR,144.8
Brandon Aiyuk,SF,WR,145.9
JuJu Smith-Schuster,KC,WR,107.8
Michael Pittman,IND,WR,110.5
DJ Moore,CAR,WR,135.1
Mike Williams,LAC,WR,110.3
Diontae Johnson,PIT,WR,86.9
Jerry Jeudy,DEN,WR,117.9
Cooper Kupp,LAR,WR,128.4
Zay Jones,JAX,WR,112
Gabe Davis,BUF,WR,121.7
Donovan Peoples-Jones,CLE,WR,97.9
Courtland Sutton,DEN,WR,86.1
Jakobi Meyers,NE,WR,106.1
Allen Lazard,GB,WR,104.7
Drake London,ATL,WR,98.6
Joshua Palmer,LAC,WR,91.4
George Pickens,PIT,WR,99.3
Darius Slayton,NYG,WR,84.4
DeAndre Hopkins,ARI,WR,89.7
Tyler Boyd,CIN,WR,102.3
Adam Thielen,MIN,WR,100.8
Marquise Brown,ARI,WR,88.3
Mack Hollins,LV,WR,95.7
Marquez Valdes-Scantling,KC,WR,77.7
Curtis Samuel,WAS,WR,113.6
Keenan Allen,LAC,WR,77.8
Deebo Samuel,SF,WR,114
Brandin Cooks,HOU,WR,72
Parris Campbell,IND,WR,79.3
Richie James,NYG,WR,81.5
Alec Pierce,IND,WR,67.1
Kalif Raymond,DET,WR,58.6
Noah Brown,DAL,WR,72.5
K.J. Osborn,MIN,WR,83.9
Chris Moore,HOU,WR,65.1
Corey Davis,NYJ,WR,63.9
Christian Watson,GB,WR,111.5
Marvin Jones,JAX,WR,68
Olamide Zaccheaus,ATL,WR,62.3
DeAndre Carter,LAC,WR,66
Darnell Mooney,CHI,WR,61.5
DJ Chark,DET,WR,66.8
Robert Woods,TEN,WR,60.7
Nico Collins,HOU,WR,60.1
Terrace Marshall,CAR,WR,52.7
Josh Reynolds,DET,WR,64.3
DeVante Parker,NE,WR,52
Rashid Shaheed,NO,WR,68.4
Jahan Dotson,WAS,WR,86.4
Greg Dortch,ARI,WR,58.6
Elijah Moore,NYJ,WR,50
Demarcus Robinson,BAL,WR,55.4
Romeo Doubs,GB,WR,61.6
Treylon Burks,TEN,WR,53.2
Trent Sherfield,MIA,WR,53.7
Rondale Moore,ARI,WR,47.5
Michael Gallup,DAL,WR,65.4
Russell Gage,TB,WR,65.1
Devin Duvernay,BAL,WR,73.1
Randall Cobb,GB,WR,46.6
Jauan Jennings,SF,WR,46.6
Isaiah McKenzie,BUF,WR,75.9
Nick Westbrook-Ikhine,TEN,WR,57.7
Kendrick Bourne,NE,WR,48.8
Marquise Goodwin,SEA,WR,63.2
Ben Skowronek,LAR,WR,45.3
Nelson Agholor,NE,WR,48.2
Isaiah Hodgins,NYG,WR,59.1
Quez Watkins,PHI,WR,52.1
Allen Robinson,LAR,WR,51.9
Equanimeous St. Brown,CHI,WR,42.4
Kendall Hinton,DEN,WR,32.4
Chase Claypool,PIT,WR,46.7
Van Jefferson,LAR,WR,48.8
Julio Jones,TB,WR,46.4
Mecole Hardman,KC,WR,68.8
Shi Smith,CAR,WR,41.6
Rashod Bateman,BAL,WR,40.5
